KEY,MEANING,DESCRIPTION,Sheet,CCMS-rule
_SYSTEM_PUI_CONTEXT,** Unknown key **,,global attrs(merits),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
_SYSTEM_PUI_URL,** Unknown key **,,global attrs(merits),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
_SYSTEM_PUI_USERID,** Unknown key **,,global attrs(merits),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ABUSE_OF_CHILD_OR_VULN_ADULT_C,LARCriteria: Falls Within The Abuse Of Child Or Vulnerable Adult LAR Criteria,LARCriteria: Falls Within The Abuse Of Child Or Vulnerable Adult LAR Criteria,ATTRIBUTES (MER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ABUSE_OF_POSITION_OR_POWER_C,LARCriteria: Falls Within The Abuse Of Position Or Powers LAR Criteria,LARCriteria: Falls Within The Abuse Of Position Or Powers LAR Criteria,ATTRIBUTES (MER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ACTION_AGAINST_POLICE,The Case Is An Action Against The Police,The Case Is An Action Against The Police,ATTRIBUTES (MER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ACTION_CLIENTS_UK_STATUS,Case: The Proposed Action Is In Relation To The Client's Status In The UK,Case: The Proposed Action Is In Relation To The Client's Status In The UK,ATTRIBUTES (MER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ACTION_DAMAGES_AGAINST_POLICE,The Proceeding Is An Action For Damages Against The Police,The Proceeding Is An Action For Damages Against The Police,ATTRIBUTES (MER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ACTUAL_LIKELY_COSTS_EXCEED_25K,Case: Actual / Likely Costs Of The Case For All Clients Represented Exceed 25K,Case: Actual / Likely Costs Of The Case For All Clients Represented Exceed 25K,ATTRIBUTES (MER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDITIONAL_EVIDENCE_COLLECTED,The Detail Of Additional Evidence To Be Submitted Has Been Collected,The Detail Of Additional Evidence To Be Submitted Has Been Collected,ATTRIBUTES (MER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
